행정구역별,산업별,종사자규모별,사업체수 (개),종사자수 (명)
전국,보건업 및 사회복지 서비스업(86~87),20 - 49명,10323,310808
전국,보건업 및 사회복지 서비스업(86~87),50 - 99명,3623,248992
전국,보건업 및 사회복지 서비스업(86~87),100 - 299명,1592,250915
전국,보건업 및 사회복지 서비스업(86~87),300 - 499명,153,57122
전국,보건업 및 사회복지 서비스업(86~87),500 - 999명,90,63560
전국,보건업 및 사회복지 서비스업(86~87),1000명 이상,89,184330
전국,"예술, 스포츠 및 여가관련 서비스업(90~91)",계,121639,442046
전국,"예술, 스포츠 및 여가관련 서비스업(90~91)",1 - 4명,106109,184549
전국,"예술, 스포츠 및 여가관련 서비스업(90~91)",5 - 9명,10480,65866
전국,"예술, 스포츠 및 여가관련 서비스업(90~91)",10 - 19명,2823,36846
전국,"예술, 스포츠 및 여가관련 서비스업(90~91)",20 - 49명,1386,40945
전국,"예술, 스포츠 및 여가관련 서비스업(90~91)",50 - 99명,430,30144
전국,"예술, 스포츠 및 여가관련 서비스업(90~91)",100 - 299명,370,56113
전국,"예술, 스포츠 및 여가관련 서비스업(90~91)",300 - 499명,28,10388
전국,"예술, 스포츠 및 여가관련 서비스업(90~91)",500 - 999명,8,5264
전국,"예술, 스포츠 및 여가관련 서비스업(90~91)",1000명 이상,5,11931
전국,"협회 및 단체, 수리 및 기타 개인 서비스업(94~96)",계,410246,890317
전국,"협회 및 단체, 수리 및 기타 개인 서비스업(94~96)",1 - 4명,381365,542365
전국,"협회 및 단체, 수리 및 기타 개인 서비스업(94~96)",5 - 9명,18738,118862
전국,"협회 및 단체, 수리 및 기타 개인 서비스업(94~96)",10 - 19명,6587,85752
전국,"협회 및 단체, 수리 및 기타 개인 서비스업(94~96)",20 - 49명,2901,82586
전국,"협회 및 단체, 수리 및 기타 개인 서비스업(94~96)",50 - 99명,471,31102
전국,"협회 및 단체, 수리 및 기타 개인 서비스업(94~96)",100 - 299명,174,24655
전국,"협회 및 단체, 수리 및 기타 개인 서비스업(94~96)",300 - 499명,7,2399
전국,"협회 및 단체, 수리 및 기타 개인 서비스업(94~96)",500 - 999명,2,X
전국,"협회 및 단체, 수리 및 기타 개인 서비스업(94~96)",1000명 이상,1,X
서울,전체 산업,계,823385,5210936
서울,전체 산업,1 - 4명,646305,1161490
서울,전체 산업,5 - 9명,105365,673492
서울,전체 산업,10 - 19명,40914,531878
서울,전체 산업,20 - 49명,19188,563908
서울,전체 산업,50 - 99명,6164,421667
서울,전체 산업,100 - 299명,3937,630725
서울,전체 산업,300 - 499명,763,288378
서울,전체 산업,500 - 999명,453,317018
서울,전체 산업,1000명 이상,296,622380
서울,"농업, 임업 및 어업(01~03)",계,30,462
서울,"농업, 임업 및 어업(01~03)",1 - 4명,17,37
서울,"농업, 임업 및 어업(01~03)",5 - 9명,4,22
서울,"농업, 임업 및 어업(01~03)",10 - 19명,3,49
서울,"농업, 임업 및 어업(01~03)",20 - 49명,4,99
서울,"농업, 임업 및 어업(01~03)",100 - 299명,2,X
서울,광업(05~08),계,24,81
서울,광업(05~08),1 - 4명,20,40
서울,광업(05~08),5 - 9명,3,19
서울,광업(05~08),20 - 49명,1,X
서울,제조업(10~34),계,58970,266500
서울,제조업(10~34),1 - 4명,44106,91996
서울,제조업(10~34),5 - 9명,10942,72176
서울,제조업(10~34),10 - 19명,2477,32089
서울,제조업(10~34),20 - 49명,1106,31700
서울,제조업(10~34),50 - 99명,224,15070
서울,제조업(10~34),100 - 299명,103,17063
서울,제조업(10~34),300 - 499명,9,3381
서울,제조업(10~34),500 - 999명,1,X
서울,제조업(10~34),1000명 이상,2,X
서울,"전기, 가스, 증기 및 공기조절 공급업(35)",계,183,6083
서울,"전기, 가스, 증기 및 공기조절 공급업(35)",1 - 4명,113,216
서울,"전기, 가스, 증기 및 공기조절 공급업(35)",5 - 9명,18,113
서울,"전기, 가스, 증기 및 공기조절 공급업(35)",10 - 19명,4,52
서울,"전기, 가스, 증기 및 공기조절 공급업(35)",20 - 49명,10,342
서울,"전기, 가스, 증기 및 공기조절 공급업(35)",50 - 99명,24,1826
서울,"전기, 가스, 증기 및 공기조절 공급업(35)",100 - 299명,9,1804
서울,"전기, 가스, 증기 및 공기조절 공급업(35)",300 - 499명,5,1730
서울,"수도, 하수 및 폐기물 처리, 원료 재생업(36~39)",계,451,9139
서울,"수도, 하수 및 폐기물 처리, 원료 재생업(36~39)",1 - 4명,198,452
서울,"수도, 하수 및 폐기물 처리, 원료 재생업(36~39)",5 - 9명,38,259
서울,"수도, 하수 및 폐기물 처리, 원료 재생업(36~39)",10 - 19명,74,1081
서울,"수도, 하수 및 폐기물 처리, 원료 재생업(36~39)",20 - 49명,100,3161
서울,"수도, 하수 및 폐기물 처리, 원료 재생업(36~39)",50 - 99명,23,1468
서울,"수도, 하수 및 폐기물 처리, 원료 재생업(36~39)",100 - 299명,18,2718
서울,건설업(41~42),계,21825,379353
서울,건설업(41~42),1 - 4명,12483,26537
서울,건설업(41~42),5 - 9명,4441,29243
서울,건설업(41~42),10 - 19명,2767,36095
서울,건설업(41~42),20 - 49명,1243,35820
서울,건설업(41~42),50 - 99명,355,23720
서울,건설업(41~42),100 - 299명,342,56763
서울,건설업(41~42),300 - 499명,94,34908
서울,건설업(41~42),500 - 999명,55,37784
서울,건설업(41~42),1000명 이상,45,98483
서울,도매 및 소매업(45~47),계,223955,896326
서울,도매 및 소매업(45~47),1 - 4명,187982,347210
서울,도매 및 소매업(45~47),5 - 9명,23841,149210
서울,도매 및 소매업(45~47),10 - 19명,7430,96595
서울,도매 및 소매업(45~47),20 - 49명,3228,93329
서울,도매 및 소매업(45~47),50 - 99명,859,58805
서울,도매 및 소매업(45~47),100 - 299명,497,79806
서울,도매 및 소매업(45~47),300 - 499명,75,27988
서울,도매 및 소매업(45~47),500 - 999명,31,23661
서울,도매 및 소매업(45~47),1000명 이상,12,19722
서울,운수 및 창고업(49~52),계,95412,272618
서울,운수 및 창고업(49~52),1 - 4명,91017,96675
서울,운수 및 창고업(49~52),5 - 9명,1870,12205
서울,운수 및 창고업(49~52),10 - 19명,1145,15147
서울,운수 및 창고업(49~52),20 - 49명,680,19885
서울,운수 및 창고업(49~52),50 - 99명,223,15096
서울,운수 및 창고업(49~52),100 - 299명,419,64153
서울,운수 및 창고업(49~52),300 - 499명,37,13558
서울,운수 및 창고업(49~52),500 - 999명,15,10747
서울,운수 및 창고업(49~52),1000명 이상,6,25152
서울,숙박 및 음식점업(55~56),계,130595,495092
서울,숙박 및 음식점업(55~56),1 - 4명,101716,222216
서울,숙박 및 음식점업(55~56),5 - 9명,21644,135397
서울,숙박 및 음식점업(55~56),10 - 19명,5720,71906
서울,숙박 및 음식점업(55~56),20 - 49명,1269,35712
서울,숙박 및 음식점업(55~56),50 - 99명,181,11767
서울,숙박 및 음식점업(55~56),100 - 299명,44,7210
서울,숙박 및 음식점업(55~56),300 - 499명,13,4951
서울,숙박 및 음식점업(55~56),500 - 999명,6,3733
서울,숙박 및 음식점업(55~56),1000명 이상,2,X
서울,정보통신업(58~63),계,23384,357761
서울,정보통신업(58~63),1 - 4명,13265,26006
서울,정보통신업(58~63),5 - 9명,4318,28276
서울,정보통신업(58~63),10 - 19명,2734,36322
서울,정보통신업(58~63),20 - 49명,1853,55094
서울,정보통신업(58~63),50 - 99명,638,43731
서울,정보통신업(58~63),100 - 299명,451,75889
서울,정보통신업(58~63),300 - 499명,78,29624
서울,정보통신업(58~63),500 - 999명,30,19521
서울,정보통신업(58~63),1000명 이상,17,43298
서울,금융 및 보험업(64~66),계,11220,262273
서울,금융 및 보험업(64~66),1 - 4명,4182,8064
서울,금융 및 보험업(64~66),5 - 9명,2060,14326
서울,금융 및 보험업(64~66),10 - 19명,2816,36930
서울,금융 및 보험업(64~66),20 - 49명,1393,42265
서울,금융 및 보험업(64~66),50 - 99명,415,27481
서울,금융 및 보험업(64~66),100 - 299명,225,35439
서울,금융 및 보험업(64~66),300 - 499명,64,24967
서울,금융 및 보험업(64~66),500 - 999명,37,26141
서울,금융 및 보험업(64~66),1000명 이상,28,46660
서울,부동산업(68),계,41282,158063
서울,부동산업(68),1 - 4명,34622,58072
서울,부동산업(68),5 - 9명,4164,26498
서울,부동산업(68),10 - 19명,1588,20446
서울,부동산업(68),20 - 49명,685,20121
서울,부동산업(68),50 - 99명,124,8290
서울,부동산업(68),100 - 299명,81,12573
서울,부동산업(68),300 - 499명,9,3460
서울,부동산업(68),500 - 999명,6,4309
서울,부동산업(68),1000명 이상,3,4294
서울,"전문, 과학 및 기술 서비스업(70~73)",계,41654,463519
서울,"전문, 과학 및 기술 서비스업(70~73)",1 - 4명,26303,54549
서울,"전문, 과학 및 기술 서비스업(70~73)",5 - 9명,8497,54601
서울,"전문, 과학 및 기술 서비스업(70~73)",10 - 19명,3717,48256
서울,"전문, 과학 및 기술 서비스업(70~73)",20 - 49명,1923,56516
서울,"전문, 과학 및 기술 서비스업(70~73)",50 - 99명,621,42565
서울,"전문, 과학 및 기술 서비스업(70~73)",100 - 299명,412,66847
서울,"전문, 과학 및 기술 서비스업(70~73)",300 - 499명,92,34527
서울,"전문, 과학 및 기술 서비스업(70~73)",500 - 999명,57,39775
서울,"전문, 과학 및 기술 서비스업(70~73)",1000명 이상,32,65883
서울,"사업시설 관리, 사업 지원 및 임대 서비스업(74~76)",계,16198,496433
서울,"사업시설 관리, 사업 지원 및 임대 서비스업(74~76)",1 - 4명,10402,20386
서울,"사업시설 관리, 사업 지원 및 임대 서비스업(74~76)",5 - 9명,2351,15030
서울,"사업시설 관리, 사업 지원 및 임대 서비스업(74~76)",10 - 19명,1179,15825
서울,"사업시설 관리, 사업 지원 및 임대 서비스업(74~76)",20 - 49명,929,28392
서울,"사업시설 관리, 사업 지원 및 임대 서비스업(74~76)",50 - 99명,440,30727
서울,"사업시설 관리, 사업 지원 및 임대 서비스업(74~76)",100 - 299명,511,88571
서울,"사업시설 관리, 사업 지원 및 임대 서비스업(74~76)",300 - 499명,158,59937
서울,"사업시설 관리, 사업 지원 및 임대 서비스업(74~76)",500 - 999명,162,114375
서울,"사업시설 관리, 사업 지원 및 임대 서비스업(74~76)",1000명 이상,66,123190
서울,"공공행정, 국방 및 사회보장 행정(84)",계,1282,140121
서울,"공공행정, 국방 및 사회보장 행정(84)",1 - 4명,113,197
서울,"공공행정, 국방 및 사회보장 행정(84)",5 - 9명,44,315
서울,"공공행정, 국방 및 사회보장 행정(84)",10 - 19명,165,2615
서울,"공공행정, 국방 및 사회보장 행정(84)",20 - 49명,659,19352
서울,"공공행정, 국방 및 사회보장 행정(84)",50 - 99명,100,6415
서울,"공공행정, 국방 및 사회보장 행정(84)",100 - 299명,107,18900
서울,"공공행정, 국방 및 사회보장 행정(84)",300 - 499명,46,18201
서울,"공공행정, 국방 및 사회보장 행정(84)",500 - 999명,16,10856
서울,"공공행정, 국방 및 사회보장 행정(84)",1000명 이상,32,63270
서울,교육 서비스업(85),계,35377,346219
서울,교육 서비스업(85),1 - 4명,24897,44155
서울,교육 서비스업(85),5 - 9명,5318,34386
서울,교육 서비스업(85),10 - 19명,2337,30461
서울,교육 서비스업(85),20 - 49명,1306,40639
서울,교육 서비스업(85),50 - 99명,1124,79427
서울,교육 서비스업(85),100 - 299명,320,39686
서울,교육 서비스업(85),300 - 499명,34,13115
서울,교육 서비스업(85),500 - 999명,18,12384
서울,교육 서비스업(85),1000명 이상,23,51966
서울,보건업 및 사회복지 서비스업(86~87),계,28824,378366
서울,보건업 및 사회복지 서비스업(86~87),1 - 4명,12841,37189
서울,보건업 및 사회복지 서비스업(86~87),5 - 9명,9069,58676
서울,보건업 및 사회복지 서비스업(86~87),10 - 19명,4330,56424
서울,보건업 및 사회복지 서비스업(86~87),20 - 49명,1692,49725
서울,보건업 및 사회복지 서비스업(86~87),50 - 99명,554,37780
서울,보건업 및 사회복지 서비스업(86~87),100 - 299명,263,43016
서울,보건업 및 사회복지 서비스업(86~87),300 - 499명,34,12379
서울,보건업 및 사회복지 서비스업(86~87),500 - 999명,14,9817
서울,보건업 및 사회복지 서비스업(86~87),1000명 이상,27,73360
서울,"예술, 스포츠 및 여가관련 서비스업(90~91)",계,23025,91104
서울,"예술, 스포츠 및 여가관련 서비스업(90~91)",1 - 4명,19415,34234
서울,"예술, 스포츠 및 여가관련 서비스업(90~91)",5 - 9명,2398,15193
서울,"예술, 스포츠 및 여가관련 서비스업(90~91)",10 - 19명,764,9853
서울,"예술, 스포츠 및 여가관련 서비스업(90~91)",20 - 49명,295,8501
서울,"예술, 스포츠 및 여가관련 서비스업(90~91)",50 - 99명,84,5693
서울,"예술, 스포츠 및 여가관련 서비스업(90~91)",100 - 299명,52,7806
서울,"예술, 스포츠 및 여가관련 서비스업(90~91)",300 - 499명,12,4585
서울,"예술, 스포츠 및 여가관련 서비스업(90~91)",500 - 999명,4,2851
서울,"예술, 스포츠 및 여가관련 서비스업(90~91)",1000명 이상,1,X
서울,"협회 및 단체, 수리 및 기타 개인 서비스업(94~96)",계,69694,191423
서울,"협회 및 단체, 수리 및 기타 개인 서비스업(94~96)",1 - 4명,62613,93259
서울,"협회 및 단체, 수리 및 기타 개인 서비스업(94~96)",5 - 9명,4345,27547
서울,"협회 및 단체, 수리 및 기타 개인 서비스업(94~96)",10 - 19명,1664,21732
서울,"협회 및 단체, 수리 및 기타 개인 서비스업(94~96)",20 - 49명,812,23233
서울,"협회 및 단체, 수리 및 기타 개인 서비스업(94~96)",50 - 99명,175,11806
서울,"협회 및 단체, 수리 및 기타 개인 서비스업(94~96)",100 - 299명,81,12226
서울,"협회 및 단체, 수리 및 기타 개인 서비스업(94~96)",300 - 499명,3,1067
서울,"협회 및 단체, 수리 및 기타 개인 서비스업(94~96)",500 - 999명,1,X
부산,전체 산업,계,288860,1442115
부산,전체 산업,1 - 4명,234491,425101
부산,전체 산업,5 - 9명,32298,206131
부산,전체 산업,10 - 19명,12189,159871
부산,전체 산업,20 - 49명,6441,193392
부산,전체 산업,50 - 99명,2218,151486
부산,전체 산업,100 - 299명,988,151816
부산,전체 산업,300 - 499명,121,45045
부산,전체 산업,500 - 999명,85,59391
부산,전체 산업,1000명 이상,29,49882
부산,"농업, 임업 및 어업(01~03)",계,82,3827
부산,"농업, 임업 및 어업(01~03)",1 - 4명,26,46
부산,"농업, 임업 및 어업(01~03)",5 - 9명,10,74
부산,"농업, 임업 및 어업(01~03)",10 - 19명,10,137
부산,"농업, 임업 및 어업(01~03)",20 - 49명,10,322
부산,"농업, 임업 및 어업(01~03)",50 - 99명,16,1275
부산,"농업, 임업 및 어업(01~03)",100 - 299명,8,1314
부산,"농업, 임업 및 어업(01~03)",300 - 499명,2,X
부산,광업(05~08),계,18,114
부산,광업(05~08),1 - 4명,8,16
부산,광업(05~08),5 - 9명,7,50
부산,광업(05~08),10 - 19명,2,X
부산,광업(05~08),20 - 49명,1,X
부산,제조업(10~34),계,30656,216091
부산,제조업(10~34),1 - 4명,21137,43852
부산,제조업(10~34),5 - 9명,5435,36285
부산,제조업(10~34),10 - 19명,2158,28477
부산,제조업(10~34),20 - 49명,1394,41683
부산,제조업(10~34),50 - 99명,363,24567
부산,제조업(10~34),100 - 299명,147,22559
부산,제조업(10~34),300 - 499명,11,4261
부산,제조업(10~34),500 - 999명,7,4431
부산,제조업(10~34),1000명 이상,4,9976
부산,"전기, 가스, 증기 및 공기조절 공급업(35)",계,61,3711
부산,"전기, 가스, 증기 및 공기조절 공급업(35)",1 - 4명,29,56
부산,"전기, 가스, 증기 및 공기조절 공급업(35)",5 - 9명,8,53
부산,"전기, 가스, 증기 및 공기조절 공급업(35)",10 - 19명,3,50
부산,"전기, 가스, 증기 및 공기조절 공급업(35)",20 - 49명,7,238
부산,"전기, 가스, 증기 및 공기조절 공급업(35)",50 - 99명,9,619
부산,"전기, 가스, 증기 및 공기조절 공급업(35)",100 - 299명,1,X
부산,"전기, 가스, 증기 및 공기조절 공급업(35)",300 - 499명,3,1080
부산,"전기, 가스, 증기 및 공기조절 공급업(35)",1000명 이상,1,X
부산,"수도, 하수 및 폐기물 처리, 원료 재생업(36~39)",계,447,6518
부산,"수도, 하수 및 폐기물 처리, 원료 재생업(36~39)",1 - 4명,174,409
부산,"수도, 하수 및 폐기물 처리, 원료 재생업(36~39)",5 - 9명,104,686
부산,"수도, 하수 및 폐기물 처리, 원료 재생업(36~39)",10 - 19명,76,1060
부산,"수도, 하수 및 폐기물 처리, 원료 재생업(36~39)",20 - 49명,58,1894
부산,"수도, 하수 및 폐기물 처리, 원료 재생업(36~39)",50 - 99명,33,2191
부산,"수도, 하수 및 폐기물 처리, 원료 재생업(36~39)",100 - 299명,2,X
부산,건설업(41~42),계,9003,100385
부산,건설업(41~42),1 - 4명,5061,11983
부산,건설업(41~42),5 - 9명,1839,12022
부산,건설업(41~42),10 - 19명,1176,15511
부산,건설업(41~42),20 - 49명,618,18251
부산,건설업(41~42),50 - 99명,178,11846
부산,건설업(41~42),100 - 299명,103,15306
부산,건설업(41~42),300 - 499명,19,6774
부산,건설업(41~42),500 - 999명,6,4713
부산,건설업(41~42),1000명 이상,3,3979
부산,도매 및 소매업(45~47),계,80557,232787
부산,도매 및 소매업(45~47),1 - 4명,71021,128681
부산,도매 및 소매업(45~47),5 - 9명,6832,42398
